Year,DOY,Date,Trt_code,Treatment,Plot,LAI,LAI_Tmnt
2012,166,6/14/2012,1,100/100,A33,0.594,0.562
2012,166,6/14/2012,1,100/100,A42,0.422,
2012,166,6/14/2012,1,100/100,B11,0.592,
2012,166,6/14/2012,1,100/100,B23,0.638,
2012,166,6/14/2012,2,100/50,A15,0.495,0.562
2012,166,6/14/2012,2,100/50,A22,0.515,
2012,166,6/14/2012,2,100/50,B32,0.693,
2012,166,6/14/2012,2,100/50,B46,0.546,
2012,166,6/14/2012,3,80/80,A14,0.539,0.522
2012,166,6/14/2012,3,80/80,A24,0.538,
2012,166,6/14/2012,3,80/80,B31,0.497,
2012,166,6/14/2012,3,80/80,B45,0.513,
2012,166,6/14/2012,4,80/65,A31,0.516,0.594
2012,166,6/14/2012,4,80/65,A46,0.465,
2012,166,6/14/2012,4,80/65,B15,0.632,
2012,166,6/14/2012,4,80/65,B22,0.763,
2012,166,6/14/2012,5,80/50,A34,0.407,0.512
2012,166,6/14/2012,5,80/50,A44,0.564,
2012,166,6/14/2012,5,80/50,B14,0.582,
2012,166,6/14/2012,5,80/50,B25,0.496,
2012,166,6/14/2012,6,80/40,A16,0.633,0.509
2012,166,6/14/2012,6,80/40,A26,0.496,
2012,166,6/14/2012,6,80/40,B34,0.392,
2012,166,6/14/2012,6,80/40,B41,0.515,
2012,166,6/14/2012,7,65/80,A11,0.484,0.487
2012,166,6/14/2012,7,65/80,A25,0.509,
2012,166,6/14/2012,7,65/80,B33,0.573,
2012,166,6/14/2012,7,65/80,B44,0.381,
2012,166,6/14/2012,8,65/65,A32,0.477,0.504
2012,166,6/14/2012,8,65/65,A41,0.606,
2012,166,6/14/2012,8,65/65,B12,0.463,
2012,166,6/14/2012,8,65/65,B26,0.47,
2012,166,6/14/2012,9,65/50,A35,0.624,0.589
2012,166,6/14/2012,9,65/50,A43,0.59,
2012,166,6/14/2012,9,65/50,B13,0.495,
2012,166,6/14/2012,9,65/50,B21,0.647,
2012,166,6/14/2012,10,65/40,A12,0.603,0.558
2012,166,6/14/2012,10,65/40,A23,0.54,
2012,166,6/14/2012,10,65/40,B35,0.466,
2012,166,6/14/2012,10,65/40,B42,0.622,
2012,166,6/14/2012,11,50/50,A36,0.568,0.555
2012,166,6/14/2012,11,50/50,A45,0.564,
2012,166,6/14/2012,11,50/50,B16,0.548,
2012,166,6/14/2012,11,50/50,B24,0.542,
2012,166,6/14/2012,12,40/40,A13,0.627,0.582
2012,166,6/14/2012,12,40/40,A21,0.726,
2012,166,6/14/2012,12,40/40,B36,0.496,
2012,166,6/14/2012,12,40/40,B43,0.48,
2012,185,7/3/2012,1,100/100,A33,3.248,3.684
2012,185,7/3/2012,1,100/100,A42,3.559,
2012,185,7/3/2012,1,100/100,B11,4.436,
2012,185,7/3/2012,1,100/100,B23,3.495,
2012,185,7/3/2012,2,100/50,A15,2.639,3.266
2012,185,7/3/2012,2,100/50,A22,3.413,
2012,185,7/3/2012,2,100/50,B32,3.376,
2012,185,7/3/2012,2,100/50,B46,3.635,
2012,185,7/3/2012,3,80/80,A14,3.548,3.409
2012,185,7/3/2012,3,80/80,A24,2.652,
2012,185,7/3/2012,3,80/80,B31,3.331,
2012,185,7/3/2012,3,80/80,B45,4.104,
2012,185,7/3/2012,4,80/65,A31,3.088,3.041
2012,185,7/3/2012,4,80/65,A46,2.726,
2012,185,7/3/2012,4,80/65,B15,2.886,
2012,185,7/3/2012,4,80/65,B22,3.464,
2012,185,7/3/2012,5,80/50,A34,3.231,3.13
2012,185,7/3/2012,5,80/50,A44,2.689,
2012,185,7/3/2012,5,80/50,B14,2.879,
2012,185,7/3/2012,5,80/50,B25,3.72,
2012,185,7/3/2012,6,80/40,A16,3.74,3.297
2012,185,7/3/2012,6,80/40,A26,3.313,
2012,185,7/3/2012,6,80/40,B34,2.714,
2012,185,7/3/2012,6,80/40,B41,3.42,
2012,185,7/3/2012,7,65/80,A11,3.351,3.142
2012,185,7/3/2012,7,65/80,A25,3.207,
2012,185,7/3/2012,7,65/80,B33,2.905,
2012,185,7/3/2012,7,65/80,B44,3.106,
2012,185,7/3/2012,8,65/65,A32,3.219,3.429
2012,185,7/3/2012,8,65/65,A41,3.372,
2012,185,7/3/2012,8,65/65,B12,3.24,
2012,185,7/3/2012,8,65/65,B26,3.885,
2012,185,7/3/2012,9,65/50,A35,3.378,3.482
2012,185,7/3/2012,9,65/50,A43,2.849,
2012,185,7/3/2012,9,65/50,B13,4.252,
2012,185,7/3/2012,9,65/50,B21,3.447,
2012,185,7/3/2012,10,65/40,A12,2.712,3.465
2012,185,7/3/2012,10,65/40,A23,4.036,
2012,185,7/3/2012,10,65/40,B35,3.729,
2012,185,7/3/2012,10,65/40,B42,3.381,
2012,185,7/3/2012,11,50/50,A36,2.982,3.182
2012,185,7/3/2012,11,50/50,A45,2.92,
2012,185,7/3/2012,11,50/50,B16,2.849,
2012,185,7/3/2012,11,50/50,B24,3.978,
2012,185,7/3/2012,12,40/40,A13,2.648,2.835
2012,185,7/3/2012,12,40/40,A21,2.833,
2012,185,7/3/2012,12,40/40,B36,3.103,
2012,185,7/3/2012,12,40/40,B43,2.757,
2012,207,7/25/2012,1,100/100,A33,4.311,4.344
2012,207,7/25/2012,1,100/100,A42,4.176,
2012,207,7/25/2012,1,100/100,B11,4.051,
2012,207,7/25/2012,1,100/100,B23,4.835,
2012,207,7/25/2012,2,100/50,A15,5.191,4.773
2012,207,7/25/2012,2,100/50,A22,4.557,
2012,207,7/25/2012,2,100/50,B32,4.79,
2012,207,7/25/2012,2,100/50,B46,4.552,
2012,207,7/25/2012,3,80/80,A14,4.182,4.515
2012,207,7/25/2012,3,80/80,A24,4.598,
2012,207,7/25/2012,3,80/80,B31,4.254,
2012,207,7/25/2012,3,80/80,B45,5.024,
2012,207,7/25/2012,4,80/65,A31,4.204,4.5
2012,207,7/25/2012,4,80/65,A46,4.867,
2012,207,7/25/2012,4,80/65,B15,4.546,
2012,207,7/25/2012,4,80/65,B22,4.384,
2012,207,7/25/2012,5,80/50,A34,4.534,4.239
2012,207,7/25/2012,5,80/50,A44,4.182,
2012,207,7/25/2012,5,80/50,B14,3.938,
2012,207,7/25/2012,5,80/50,B25,4.301,
2012,207,7/25/2012,6,80/40,A16,5.115,5.002
2012,207,7/25/2012,6,80/40,A26,5.149,
2012,207,7/25/2012,6,80/40,B34,4.898,
2012,207,7/25/2012,6,80/40,B41,4.847,
2012,207,7/25/2012,7,65/80,A11,4.276,4.481
2012,207,7/25/2012,7,65/80,A25,4.625,
2012,207,7/25/2012,7,65/80,B33,4.593,
2012,207,7/25/2012,7,65/80,B44,4.431,
2012,207,7/25/2012,8,65/65,A32,4.037,4.314
2012,207,7/25/2012,8,65/65,A41,4.479,
2012,207,7/25/2012,8,65/65,B12,4.223,
2012,207,7/25/2012,8,65/65,B26,4.518,
2012,207,7/25/2012,9,65/50,A35,4.553,4.483
2012,207,7/25/2012,9,65/50,A43,4.286,
2012,207,7/25/2012,9,65/50,B13,4.208,
2012,207,7/25/2012,9,65/50,B21,4.886,
2012,207,7/25/2012,10,65/40,A12,4.23,4.405
2012,207,7/25/2012,10,65/40,A23,4.46,
2012,207,7/25/2012,10,65/40,B35,4.572,
2012,207,7/25/2012,10,65/40,B42,4.357,
2012,207,7/25/2012,11,50/50,A36,4.201,4.127
2012,207,7/25/2012,11,50/50,A45,3.897,
2012,207,7/25/2012,11,50/50,B16,3.957,
2012,207,7/25/2012,11,50/50,B24,4.453,
2012,207,7/25/2012,12,40/40,A13,3.703,3.553
2012,207,7/25/2012,12,40/40,A21,3.546,
2012,207,7/25/2012,12,40/40,B36,3.48,
2012,207,7/25/2012,12,40/40,B43,3.485,
2012,229,8/16/2012,1,100/100,A33,4.268,4.207
2012,229,8/16/2012,1,100/100,A42,3.97,
2012,229,8/16/2012,1,100/100,B11,4.109,
2012,229,8/16/2012,1,100/100,B23,4.48,
2012,229,8/16/2012,2,100/50,A15,4.551,4.679
2012,229,8/16/2012,2,100/50,A22,4.771,
2012,229,8/16/2012,2,100/50,B32,4.369,
2012,229,8/16/2012,2,100/50,B46,5.024,
2012,229,8/16/2012,3,80/80,A14,4.577,4.414
2012,229,8/16/2012,3,80/80,A24,4.388,
2012,229,8/16/2012,3,80/80,B31,4.158,
2012,229,8/16/2012,3,80/80,B45,4.534,
2012,229,8/16/2012,4,80/65,A31,4.358,4.549
2012,229,8/16/2012,4,80/65,A46,4.782,
2012,229,8/16/2012,4,80/65,B15,4.15,
2012,229,8/16/2012,4,80/65,B22,4.906,
2012,229,8/16/2012,5,80/50,A34,4.562,4.23
2012,229,8/16/2012,5,80/50,A44,3.55,
2012,229,8/16/2012,5,80/50,B14,4.143,
2012,229,8/16/2012,5,80/50,B25,4.665,
2012,229,8/16/2012,6,80/40,A16,3.996,4.474
2012,229,8/16/2012,6,80/40,A26,4.768,
2012,229,8/16/2012,6,80/40,B34,4.468,
2012,229,8/16/2012,6,80/40,B41,4.663,
2012,229,8/16/2012,7,65/80,A11,4.366,4.375
2012,229,8/16/2012,7,65/80,A25,4.611,
2012,229,8/16/2012,7,65/80,B33,4.425,
2012,229,8/16/2012,7,65/80,B44,4.099,
2012,229,8/16/2012,8,65/65,A32,3.626,4.012
2012,229,8/16/2012,8,65/65,A41,4.133,
2012,229,8/16/2012,8,65/65,B12,4.211,
2012,229,8/16/2012,8,65/65,B26,4.078,
2012,229,8/16/2012,9,65/50,A35,3.956,4.016
2012,229,8/16/2012,9,65/50,A43,3.725,
2012,229,8/16/2012,9,65/50,B13,4.138,
2012,229,8/16/2012,9,65/50,B21,4.245,
2012,229,8/16/2012,10,65/40,A12,4.22,4.17
2012,229,8/16/2012,10,65/40,A23,4.236,
2012,229,8/16/2012,10,65/40,B35,3.745,
2012,229,8/16/2012,10,65/40,B42,4.479,
2012,229,8/16/2012,11,50/50,A36,4.01,4.001
2012,229,8/16/2012,11,50/50,A45,4.105,
2012,229,8/16/2012,11,50/50,B16,3.477,
2012,229,8/16/2012,11,50/50,B24,4.414,
2012,229,8/16/2012,12,40/40,A13,3.432,3.774
2012,229,8/16/2012,12,40/40,A21,3.707,
2012,229,8/16/2012,12,40/40,B36,4.099,
2012,229,8/16/2012,12,40/40,B43,3.858,
2013,186,7/5/2013,1,100/100,C12,2.159,2.083
2013,186,7/5/2013,1,100/100,C22,2.007,
2013,186,7/5/2013,1,100/100,D31,,
2013,186,7/5/2013,1,100/100,D43,,
2013,186,7/5/2013,2,100/50,C34,1.423,1.455
2013,186,7/5/2013,2,100/50,C41,1.577,
2013,186,7/5/2013,2,100/50,D12,1.683,
2013,186,7/5/2013,2,100/50,D22,1.139,
2013,186,7/5/2013,3,80/80,C36,1.784,1.625
2013,186,7/5/2013,3,80/80,C45,1.843,
2013,186,7/5/2013,3,80/80,D13,1.751,
2013,186,7/5/2013,3,80/80,D21,1.122,
2013,186,7/5/2013,4,80/65,C14,1.75,1.414
2013,186,7/5/2013,4,80/65,C23,1.516,
2013,186,7/5/2013,4,80/65,D34,0.975,
2013,186,7/5/2013,4,80/65,D46,,
2013,186,7/5/2013,5,80/50,C11,1.331,1.337
2013,186,7/5/2013,5,80/50,C24,1.37,
2013,186,7/5/2013,5,80/50,D33,1.57,
2013,186,7/5/2013,5,80/50,D44,1.077,
2013,186,7/5/2013,6,80/40,C35,1.285,1.474
2013,186,7/5/2013,6,80/40,C42,1.664,
2013,186,7/5/2013,6,80/40,D16,1.69,
2013,186,7/5/2013,6,80/40,D25,1.257,
2013,186,7/5/2013,7,65/80,C13,1.655,1.459
2013,186,7/5/2013,7,65/80,C21,1.378,
2013,186,7/5/2013,7,65/80,D36,1.447,
2013,186,7/5/2013,7,65/80,D45,1.357,
2013,186,7/5/2013,8,65/65,C32,0.969,1.43
2013,186,7/5/2013,8,65/65,C43,1.618,
2013,186,7/5/2013,8,65/65,D14,1.629,
2013,186,7/5/2013,8,65/65,D26,1.503,
2013,186,7/5/2013,9,65/50,C31,1.389,1.589
2013,186,7/5/2013,9,65/50,C44,1.686,
2013,186,7/5/2013,9,65/50,D15,1.826,
2013,186,7/5/2013,9,65/50,D23,1.457,
2013,186,7/5/2013,10,65/40,C16,1.116,1.302
2013,186,7/5/2013,10,65/40,C25,1.096,
2013,186,7/5/2013,10,65/40,D35,1.21,
2013,186,7/5/2013,10,65/40,D42,1.787,
2013,186,7/5/2013,11,50/50,C15,2.07,1.602
2013,186,7/5/2013,11,50/50,C26,2.127,
2013,186,7/5/2013,11,50/50,D32,1.197,
2013,186,7/5/2013,11,50/50,D41,1.014,
2013,186,7/5/2013,12,40/40,C33,1.486,1.635
2013,186,7/5/2013,12,40/40,C46,1.779,
2013,186,7/5/2013,12,40/40,D11,1.661,
2013,186,7/5/2013,12,40/40,D24,1.613,
2013,205,7/24/2013,1,100/100,C12,4.513,3.8
2013,205,7/24/2013,1,100/100,C22,3.83,
2013,205,7/24/2013,1,100/100,D31,3.307,
2013,205,7/24/2013,1,100/100,D43,3.551,
2013,205,7/24/2013,2,100/50,C34,3.617,3.858
2013,205,7/24/2013,2,100/50,C41,4.171,
2013,205,7/24/2013,2,100/50,D12,3.982,
2013,205,7/24/2013,2,100/50,D22,3.661,
2013,205,7/24/2013,3,80/80,C36,4.208,3.961
2013,205,7/24/2013,3,80/80,C45,3.652,
2013,205,7/24/2013,3,80/80,D13,3.693,
2013,205,7/24/2013,3,80/80,D21,4.291,
2013,205,7/24/2013,4,80/65,C14,3.661,3.979
2013,205,7/24/2013,4,80/65,C23,3.449,
2013,205,7/24/2013,4,80/65,D34,4.702,
2013,205,7/24/2013,4,80/65,D46,4.103,
2013,205,7/24/2013,5,80/50,C11,3.952,3.794
2013,205,7/24/2013,5,80/50,C24,3.495,
2013,205,7/24/2013,5,80/50,D33,3.836,
2013,205,7/24/2013,5,80/50,D44,3.891,
2013,205,7/24/2013,6,80/40,C35,,3.926
2013,205,7/24/2013,6,80/40,C42,3.869,
2013,205,7/24/2013,6,80/40,D16,3.669,
2013,205,7/24/2013,6,80/40,D25,4.241,
2013,205,7/24/2013,7,65/80,C13,4.461,4.251
2013,205,7/24/2013,7,65/80,C21,4.157,
2013,205,7/24/2013,7,65/80,D36,4.332,
2013,205,7/24/2013,7,65/80,D45,4.053,
2013,205,7/24/2013,8,65/65,C32,4.248,4.221
2013,205,7/24/2013,8,65/65,C43,4.188,
2013,205,7/24/2013,8,65/65,D14,,
2013,205,7/24/2013,8,65/65,D26,4.226,
2013,205,7/24/2013,9,65/50,C31,4.185,4.07
2013,205,7/24/2013,9,65/50,C44,4.01,
2013,205,7/24/2013,9,65/50,D15,4.126,
2013,205,7/24/2013,9,65/50,D23,3.959,
2013,205,7/24/2013,10,65/40,C16,4.162,4.389
2013,205,7/24/2013,10,65/40,C25,4.482,
2013,205,7/24/2013,10,65/40,D35,4.283,
2013,205,7/24/2013,10,65/40,D42,4.629,
2013,205,7/24/2013,11,50/50,C15,3.387,3.463
2013,205,7/24/2013,11,50/50,C26,3.429,
2013,205,7/24/2013,11,50/50,D32,3.782,
2013,205,7/24/2013,11,50/50,D41,3.252,
2013,205,7/24/2013,12,40/40,C33,2.904,3.084
2013,205,7/24/2013,12,40/40,C46,3.172,
2013,205,7/24/2013,12,40/40,D11,3.125,
2013,205,7/24/2013,12,40/40,D24,3.135,
2013,227,8/15/2013,1,100/100,C12,4.201,4.323
2013,227,8/15/2013,1,100/100,C22,,
2013,227,8/15/2013,1,100/100,D31,4.446,
2013,227,8/15/2013,1,100/100,D43,,
2013,227,8/15/2013,2,100/50,C34,3.731,3.936
2013,227,8/15/2013,2,100/50,C41,3.943,
2013,227,8/15/2013,2,100/50,D12,3.952,
2013,227,8/15/2013,2,100/50,D22,4.117,
2013,227,8/15/2013,3,80/80,C36,4.334,4.044
2013,227,8/15/2013,3,80/80,C45,3.708,
2013,227,8/15/2013,3,80/80,D13,3.793,
2013,227,8/15/2013,3,80/80,D21,4.339,
2013,227,8/15/2013,4,80/65,C14,4.034,4.119
2013,227,8/15/2013,4,80/65,C23,3.862,
2013,227,8/15/2013,4,80/65,D34,4.436,
2013,227,8/15/2013,4,80/65,D46,4.144,
2013,227,8/15/2013,5,80/50,C11,3.87,4.04
2013,227,8/15/2013,5,80/50,C24,4.637,
2013,227,8/15/2013,5,80/50,D33,4.208,
2013,227,8/15/2013,5,80/50,D44,3.444,
2013,227,8/15/2013,6,80/40,C35,4.079,3.892
2013,227,8/15/2013,6,80/40,C42,3.772,
2013,227,8/15/2013,6,80/40,D16,3.49,
2013,227,8/15/2013,6,80/40,D25,4.226,
2013,227,8/15/2013,7,65/80,C13,3.284,3.9
2013,227,8/15/2013,7,65/80,C21,4.284,
2013,227,8/15/2013,7,65/80,D36,4.132,
2013,227,8/15/2013,7,65/80,D45,,
2013,227,8/15/2013,8,65/65,C32,4.18,3.922
2013,227,8/15/2013,8,65/65,C43,3.712,
2013,227,8/15/2013,8,65/65,D14,3.873,
2013,227,8/15/2013,8,65/65,D26,,
2013,227,8/15/2013,9,65/50,C31,4.469,4.204
2013,227,8/15/2013,9,65/50,C44,4.255,
2013,227,8/15/2013,9,65/50,D15,4.017,
2013,227,8/15/2013,9,65/50,D23,4.075,
2013,227,8/15/2013,10,65/40,C16,4.258,4.601
2013,227,8/15/2013,10,65/40,C25,4.614,
2013,227,8/15/2013,10,65/40,D35,4.506,
2013,227,8/15/2013,10,65/40,D42,5.024,
2013,227,8/15/2013,11,50/50,C15,3.828,3.933
2013,227,8/15/2013,11,50/50,C26,4.111,
2013,227,8/15/2013,11,50/50,D32,3.998,
2013,227,8/15/2013,11,50/50,D41,3.797,
2013,227,8/15/2013,12,40/40,C33,5.438,4.326
2013,227,8/15/2013,12,40/40,C46,,
2013,227,8/15/2013,12,40/40,D11,2.901,
2013,227,8/15/2013,12,40/40,D24,4.639,
2013,247,9/4/2013,1,100/100,C12,4.706,4.528
2013,247,9/4/2013,1,100/100,C22,4.607,
2013,247,9/4/2013,1,100/100,D31,4.443,
2013,247,9/4/2013,1,100/100,D43,4.357,
2013,247,9/4/2013,2,100/50,C34,3.898,3.807
2013,247,9/4/2013,2,100/50,C41,4.024,
2013,247,9/4/2013,2,100/50,D12,3.485,
2013,247,9/4/2013,2,100/50,D22,3.822,
2013,247,9/4/2013,3,80/80,C36,3.382,4.245
2013,247,9/4/2013,3,80/80,C45,4.957,
2013,247,9/4/2013,3,80/80,D13,4.468,
2013,247,9/4/2013,3,80/80,D21,4.172,
2013,247,9/4/2013,4,80/65,C14,3.727,4.046
2013,247,9/4/2013,4,80/65,C23,3.972,
2013,247,9/4/2013,4,80/65,D34,4.473,
2013,247,9/4/2013,4,80/65,D46,4.01,
2013,247,9/4/2013,5,80/50,C11,,3.964
2013,247,9/4/2013,5,80/50,C24,4.036,
2013,247,9/4/2013,5,80/50,D33,4.015,
2013,247,9/4/2013,5,80/50,D44,3.84,
2013,247,9/4/2013,6,80/40,C35,3.648,3.83
2013,247,9/4/2013,6,80/40,C42,,
2013,247,9/4/2013,6,80/40,D16,,
2013,247,9/4/2013,6,80/40,D25,4.013,
2013,247,9/4/2013,7,65/80,C13,4.023,4.237
2013,247,9/4/2013,7,65/80,C21,4.386,
2013,247,9/4/2013,7,65/80,D36,4.136,
2013,247,9/4/2013,7,65/80,D45,4.402,
2013,247,9/4/2013,8,65/65,C32,3.932,3.803
2013,247,9/4/2013,8,65/65,C43,3.557,
2013,247,9/4/2013,8,65/65,D14,3.733,
2013,247,9/4/2013,8,65/65,D26,3.991,
2013,247,9/4/2013,9,65/50,C31,3.71,3.815
2013,247,9/4/2013,9,65/50,C44,3.615,
2013,247,9/4/2013,9,65/50,D15,,
2013,247,9/4/2013,9,65/50,D23,4.119,
2013,247,9/4/2013,10,65/40,C16,3.068,3.494
2013,247,9/4/2013,10,65/40,C25,3.186,
2013,247,9/4/2013,10,65/40,D35,3.654,
2013,247,9/4/2013,10,65/40,D42,4.068,
2013,247,9/4/2013,11,50/50,C15,2.906,3.782
2013,247,9/4/2013,11,50/50,C26,4.608,
2013,247,9/4/2013,11,50/50,D32,3.293,
2013,247,9/4/2013,11,50/50,D41,4.319,
2013,247,9/4/2013,12,40/40,C33,3.093,3.534
2013,247,9/4/2013,12,40/40,C46,3.46,
2013,247,9/4/2013,12,40/40,D11,3.91,
2013,247,9/4/2013,12,40/40,D24,3.674,
